Title,URL,Date Created,Summary
"스마트폰 충전기 뺀 애플 조롱하던 삼성, 이제 와서 “돈 내고 사” - 조선비즈",https://biz.chosun.com/it-science/ict/2022/04/01/L23UKDCLUVAJRO7V7HAGIWLBOQ/,"Fri, 01 Apr 2022 07:00:00 GMT","스마트폰 충전기 뺀 애플 조롱하던 삼성, 이제 와서 “돈 내고 사”  조선비즈"
[MBN GOLD 시황저격] 파운드리 경쟁력 강화…삼성전자 투자확대땐 반도체 투자심리 개선 - 매일경제,https://www.mk.co.kr/news/economy/view/2022/04/358429/,"Thu, 21 Apr 2022 19:05:02 GMT",[MBN GOLD 시황저격] 파운드리 경쟁력 강화…삼성전자 투자확대땐 반도체 투자심리 개선  매일경제
"삼성전자, CJ푸드빌과 손잡고 '비스포크 큐커' 미식 경험 확대 - Samsung Newsroom Korea",https://news.samsung.com/kr/%EC%82%BC%EC%84%B1%EC%A0%84%EC%9E%90-cj%ED%91%B8%EB%93%9C%EB%B9%8C%EA%B3%BC-%EC%86%90%EC%9E%A1%EA%B3%A0-%EB%B9%84%EC%8A%A4%ED%8F%AC%ED%81%AC-%ED%81%90%EC%BB%A4-%EB%AF%B8%EC%8B%9D-%EA%B2%BD,"Thu, 21 Apr 2022 02:13:13 GMT","삼성전자, CJ푸드빌과 손잡고 '비스포크 큐커' 미식 경험 확대  Samsung Newsroom Korea"
윤종용 전 삼성전자 부회장 등 7인 정보통신 공로상 수상 - 전자신문,https://www.etnews.com/20220421000103,"Thu, 21 Apr 2022 05:30:00 GMT",윤종용 전 삼성전자 부회장 등 7인 정보통신 공로상 수상  전자신문
"삼성전자 반도체 핵심기술 유출사건, 결국 검찰로 이첩…'수사 속도' - 아시아경제",https://cm.asiae.co.kr/article/2022042119372091743,"Thu, 21 Apr 2022 10:07:00 GMT","삼성전자 반도체 핵심기술 유출사건, 결국 검찰로 이첩…'수사 속도'  아시아경제"
삼성전자 버리더니…조용히 OO株 쓸어담은 외국인 - 머니투데이,https://news.mt.co.kr/mtview.php?no=2022042109421238746&VMN,"Thu, 21 Apr 2022 07:29:00 GMT",삼성전자 버리더니…조용히 OO株 쓸어담은 외국인  머니투데이
"배신인가 소신인가, 여상 출신 첫 삼성전자 상무 양향자 - 신동아",https://shindonga.donga.com/3/all/13/3329893/1,"Thu, 21 Apr 2022 05:29:43 GMT","배신인가 소신인가, 여상 출신 첫 삼성전자 상무 양향자  신동아"
"삼성전자, 갤럭시 기기에 사용되는 '폐어망 플라스틱' 생산으로 탄소절감 효과 인증 - Samsung Newsroom Korea",https://news.samsung.com/kr/%EC%82%BC%EC%84%B1%EC%A0%84%EC%9E%90-%EA%B0%A4%EB%9F%AD%EC%8B%9C-%EA%B8%B0%EA%B8%B0%EC%97%90-%EC%82%AC%EC%9A%A9%EB%90%98%EB%8A%94-%ED%8F%90%EC%96%B4%EB%A7%9D-%ED%94%8C%EB%9D%BC%EC%8A%A4%ED%8B%B1,"Thu, 21 Apr 2022 02:13:13 GMT","삼성전자, 갤럭시 기기에 사용되는 '폐어망 플라스틱' 생산으로 탄소절감 효과 인증  Samsung Newsroom Korea"
삼성전자 더 이상 악재 없다…반도체 긴 터널 끝 보인다는데 - 매일경제,https://www.mk.co.kr/news/economy/view/2022/04/357841/,"Thu, 21 Apr 2022 09:46:21 GMT",삼성전자 더 이상 악재 없다…반도체 긴 터널 끝 보인다는데  매일경제
삼성전자 코스피 시총 비중 3년만에 최소…18%대로 줄어(종합) - 매일경제,https://www.mk.co.kr/news/economy/view/2022/04/357289/,"Thu, 21 Apr 2022 07:29:23 GMT",삼성전자 코스피 시총 비중 3년만에 최소…18%대로 줄어(종합)  매일경제
